ID,Location-batiment,ROOM,Ground/Floor,Asset type,"Hostname/
Label",Name/Profile of current user,Brand/Model/Qty/HostSRV,Specs1,Specs2,Serial Number,Status,Vendor,Purchase date,"Purchase
price (TTC)",P.O. #,Last user,Notes
G,Cycle des Minimes,EB3 E,,AP,CycleDesMinimes-GRD-1-EB3E,,AIR-AP1815I-E-K9,192.168.20.76,bc:26:c7:41:ea:98,,In use,,,,,,
G,Cycle Des Minimes,EB3 F,,AP,Minime-grd-1-EB3F,,AIR-AP1815I-E-K9,192.168.20.110,a4:b4:39:b5:b5:98,,In use,,,,,,
G,Cycle des Minimes,EB3 G,,AP,CycleDesMinimes-GRD-1-EB3G,,AIR-AP1815I-E-K9,192.168.20.140,bc:26:c7:c3:35:88,,In use,,,,,,
G,Cycle des Moyens,EB6 A,,AP,CycleDesMoyens-G-2-6emeA,,AIR-AP1815I-E-K9,192.168.20.25,bc:26:c7:44:25:10,,In use,,,,,,
G,Cycle des Moyens,EB6 B,,AP,CycleDesMoyens-G-2-6emeB,,AIR-AP1815I-E-K9,192.168.20.85,bc:26:c7:c3:4a:f0,,In use,,,,,,
G,Cycle des Moyens,EB6 C,,AP,CycleDesMoyens-G-2-6emeC,,AIR-AP1815I-E-K9,192.168.20.47,bc:26:c7:19:80:b8,,In use,,,,,,
G,Cycle des Moyens,EB6 D,,AP,CycleDesMoyens-G-2-6emeD,,AIR-AP1815I-E-K9,192.168.20.60,bc:26:c7:c3:42:38,,In use,,,,,,
G,Cycle des Moyens,EB6 E,,AP,CycleDesMoyens-G-2-6emeE,,AIR-AP1815I-E-K9,192.168.20.100,bc:26:c7:62:32:a0,,In use,,,,,,
G,Cycle des Moyens,EB6 F,,AP,CycleDesMoyens-G-2-6emeF,,AIR-AP1815I-E-K9,192.168.20.105,bc:26:c7:c3:44:80,,In use,,,,,,
G,Cycle des Moyens,EB6 G,,AP,CycleDesMoyens-G-2-6emeG,,AIR-AP1815I-E-K9,192.168.20.78,bc:26:c7:3c:12:c8,,In use,,,,,,
G,Cycle des Moyens,EB7 A,,AP,CycleDesMoyens-G-1-5emeA,,AIR-AP1815I-E-K9,192.168.20.21,00:ea:bd:64:f5:38,,In use,,,,,,
G,Cycle des Moyens,EB7 B,,AP,CycleDesMoyens-G0-5emeB,,AIR-AP1815I-E-K9,192.168.20.96,bc:26:c7:c4:24:20,,In use,,,,,,
G,Cycle des Moyens,EB7 C,,AP,CycleDesMoyens-G0-5emeC,,AIR-AP1815I-E-K9,192.168.20.93,bc:26:c7:36:a4:8a,,In use,,,,,,
G,Cycle des Moyens,EB7 D,,AP,CycleDesMoyens-G0-5emeD,,AIR-AP1815I-E-K9,192.168.20.50,bc:26:c7:c3:4a:b0,,In use,,,,,,
